Fre	文法	含义	备注
6	だし	因果，理由	
5	取り入れる	引进;采纳	
5	やりだす	开始做；着手进行	
5	どうも〜らしい（ようだ、みたいだ）	推测	
3	伺う	「聞く·尋ねる·問う」的自谦	うかがう
3	〜どころか	别说…就连…	hello
4	ちっとも	一点也不…	后接否定
2	どうも	(1)似乎；总觉得 (2)十分；非常；实在	
2	だるい	疲倦的；无力的	
3	ちゃって	てしまう口语	
3	にかぎって	偏偏…；只…	に限って
2	おかしい	奇怪的；滑稽的	
3	ていない	现在处于未发生的状态	后面不能直接{と}，而是{しないと}
1	ずっと	…得多;很…	
2	にもかかわらず	虽然	
2	〜ような	有种…样的感觉	
1	申す	自谦敬语，自我介绍，道歉，请求	もうす
1	に際して	当...之际(契机)	
0	A は B ほど C ない	A没有B那么……	
0	ほど	程度	
0	まさか	(1)难道… (2)该不会…吧 (3)怎么可能	
0	において	在…方面；在…时候；在…地点	
0	めった	几乎不…	后接否定
0	にかかわらず	不论如何；不管怎样	
0	せいだ	都怪…(句尾)，总结原因	
0	を問わず	不论，不管	をとわず
0	せいで	都怪…(句中)	
0	さえ	极端的例子，从而类推其它事物	中性词
0	のに	尽管;竟然;明明	
0	売り上げ	销售额；营业额	
0	～うちに	在...期间，趁着…	
0	N+すら	甚至～；连～	用于消极
1	どなた	哪位人	
0	調子	状况，样子	ちょうし
0	にあたって	在……之际(重要时刻)	
0	無駄に	浪费	むだに
0	少なくとも	至少；起码	
0	申し上げる	「言う」的自谦语	
0	を通して	(1)通过…(人，媒介，经验)(2)在…期间	
0	〜ことに	令人感到…的是…	
1	くせに	明明；却	主语一致
0	左右される	被影响	
0	なら	既然你提到…的话	对方说的话被当成一个讨论的主题
0	にかけて	在…领域	～から～にかけて
0	取り組み	举措；对策	
0	言われた	有人曾说;被说	
0	うえに	不仅…而且…	
0	〜の一つ	〜之一	
0	だったら	如果…的话	对方说的话被当成一个既定事实
0	高度な	精确的	
0	くせに	明明~却~	
