Fre	文法	含义	读音	备注
2	N/Vる + まで	持续性动词		
2	がっかりする	感到失望		
2	〜ならともかく	如果是...的话另当别论		
2	Vよう + とした	刚要...（但没做成）		Vようとしたら->正想…时
1	Vよう + とする	想要...，试图...		
1	Ｖた+つもり	(信念)我觉得…		Ｖる+つもり->准备做某事
2	どれだけ〜か	多么...啊		なんて～だろう->(感叹)多么…的啊
1	どうしても	(1)接否定，无论…也不…(2)务必		どんなに～ても->无论如何…也…
1	まさに	正是…		
1	すっかり	完全，彻底		
1	すなわち	也就是说，换言之		
1	Vた + までだ	只是...罢了		
2	したがって	因此		
1	それに	而且，再加上		
0	ようだ	好像...，似乎...		
0	しかも	而且…；并且…		
1	まさか	难道，怎会		
0	いったい	到底，究竟		
0	二度と + 否定	再也（不）...	にどと + ひてい	
1	かえって	反而，反倒		
0	〜に限らず〜も	不仅...也...	〜にかぎらず〜も	
1	〜なしには〜ない	如果没有...就不能...		
0	〜おかげで	多亏了...		
1	ようがない	没有办法做某事		よう->示例，像…一样
0	ほかない	只好...，只有...		同“しかなう”
0	かれる	难以…		かれない->很可能(负面)
0	ようになる	(客观)变得能够...		ことになる->团体决定
0	～なら・ば・たら～Ｖるまで	如果…的话，大不了…		
0	までだ	只能那样…		
0	試合	比赛	しあい	
0	放題	任意，随便（做某事）	ほうだい	
1	とする	视作…		たことにする->当作…
0	ようにする	(主观)努力做到...		ことにする->主观决定
