Fre	文法	含义	备注
0	〜て以来	自从...以来	〜ていらい
0	〜てからでないと / てからでなければ	不先...的话，就（不能）...	
0	〜てしようがない / てしょうがない	...得不得了，非常...	
0	〜てたまらない	...得不得了，非常...	
0	〜てでも	即使...也要...，不惜...	
0	〜てならない	...得不得了，非常...（多用于情感、感觉）	
0	〜てはいられない	不能再...下去了	
0	〜てばかりはいられない / てばかりもいられない	不能光是...	
0	〜てはじめて	在...之后才...	
0	〜ということだ	据说...；也就是说...	
0	〜というものではない / というものでもない	也不是说...就一定...	
0	〜というより	与其说...不如说...	
0	〜といっても	虽说...但是...	
0	〜とおり(に) / どおり(に)	按照...	
0	〜とか	...啦...啦（列举）；听说...	
0	〜どころか	别说...就连...	
0	〜ところだった	差一点就...	
0	〜どころではない / どころではなく	根本不是...的时候/情况	
0	〜ところに / ところへ	正当...的时候	
0	〜ところを	...的时候（多谢/打扰）	
0	〜としか言いようがない	只能说是...	〜としかいいようがない
0	〜としたら / とすると / とすれば	如果...的话	
0	〜とともに	和...一起；随着...	
0	〜とは限らない	未必，不一定	〜とはかぎらない
0	〜ないことには	如果不...就（不）...	
0	〜ないことはない / ないこともない	并不是不...，也不是没...	
0	〜ないではない / ないでもない	并非不...，也不是不...	
0	〜ながら(も)	虽然...但是...；一边...一边...	
0	〜なくはない / なくもない	并不是没有...	
0	〜ならともかく	如果是...的话另当别论	
0	〜にあたって / にあたり	在...之际（用于重要或特殊场合）	
0	〜において / における	在...（时间/地点/领域）	
0	〜に応じて(は) / に応じ / に応じた	根据...，按照...	〜におうじて(は) / におうじ / におうじた
0	〜に(は)かかわらず / に(は)かかわりなく	不管...，不问...	
0	〜に限って / に限り	偏偏在...；仅限于...	〜にかぎって / にかぎり
0	〜に限る	...是最好的	〜にかぎる
0	〜にかけては / にかけても	在...方面（无人能及）	
0	〜に決まっている	一定是...，肯定是...	〜にきまっている
0	〜に加えて / に加え	除...之外，再加上...	〜にくわえて / にくわえ
0	〜に越したことはない	...是最好的，没有比...更好的	〜にこしたことはない
0	〜にこたえて / にこたえ	回应...，响应...	
0	〜に際して / に際し / に際しての	在...之际（书面语）	〜にさいして / にさいし / にさいしての
0	〜に先立って / に先立ち	在...之前	〜にさきだって / にさきだち
0	〜に従って / に従い	遵照...；随着...	〜にしたがって / にしたがい
0	〜にしたら / にすれば / にしても	从...的立场来看；对...来说	
0	〜にしては	作为...来说（算是...）	
0	〜にしても / にせよ / にしろ	即使...也...；无论是...还是...	
0	〜に過ぎない	只不过是...	〜にすぎない
0	〜に相違ない	一定是...，肯定没错	〜にそういない
0	〜に沿って / に沿った	沿着...；按照...	〜にそって / にそった
0	〜に違いない	一定是...，肯定没错	〜にちがいない
0	〜につき	每...；因为...（书面语）	
0	〜につけ / につけては / につけても	每当...的时候；无论是...还是...	
0	〜に伴って / に伴い / に伴う	随着...，伴随...	〜にともなって / にともない / にともなう
0	〜に反して / に反し / に反する	与...相反	〜にはんして / にはんし / にはんする
0	〜にほかならない	无非是...，正是...	
0	〜にもかかわらず	尽管...却...	
0	〜に基づいて / に基づき / に基づく / に基づいた	根据...，基于...	〜にもとづいて / にもとづき / にもとづく / にもとづいた
0	〜にわたって / にわたり / にわたる / にわたった	在...范围内，遍及...	
0	〜抜きで(は) / 抜きに(は) / 抜きの / を抜きにして(は) / は抜きにして	去掉...，除去...	〜ぬきで(は) / ぬきに(は) / ぬきの / をぬきにして(は) / はぬきにして
0	〜抜く	...到底	〜ぬく
0	〜のみならず	不仅...而且...	
0	〜のもとで / のもとに	在...之下	
0	〜はおろか	别说...就连...	
0	〜ばかりか	不仅...而且...	
0	〜ばかりに	只因为...就...（导致不好结果）	
0	〜はともかく(として)	...姑且不论	
0	〜は別として	...另当别论，...姑ěi不论	〜はべつとして
0	〜ば〜ほど	越...越...	
0	〜はもちろん / はもとより	不用说...，当然...	
0	〜反面 / 半面	另一方面...	〜はんめん / はんめん
0	〜べきだ / べきではない	应该... / 不应该...	
0	〜ほか(は)ない / よりほか(は)ない	只好...，只有...	
0	〜ほど / ほどだ / ほどの	...的程度	
0	〜まい / まいか	不会...吧；决不...	
0	〜まま(に)	照原样...	
0	〜もかまわず	不顾...，不管...	
0	〜も当然だ	...也理所当然	〜もとうぜんだ
0	〜も〜ば〜も〜 / 〜も〜なら〜も〜	既...又...	
0	〜ものか / もんか	决不...，怎会...	
0	〜ものがある	确实很...，真让人感觉...	
0	〜ものだ	(用于感叹)真是...啊；(表常识)理应...；(表怀旧)过去常常...	
0	〜ものだから	因为...（多用于辩解）	
0	〜ものではない	不应该...	
0	〜ものなら	如果能...的话（希望能实现）	
0	〜ものの	虽然...但是...	
0	〜矢先に	正要...的时候	〜やさきに
0	〜やら〜やら	...啦...啦（列举，有杂乱感）	
0	〜ようがない / ようもない	没法...，无法...	
0	〜ようで	好像...	
0	〜ようでは	如果...的话（会导致不好结果）	
0	〜ようなら / ようだったら	如果...的话	
0	〜わけがない / わけはない	不可能...	
0	〜わけだ	怪不得...；当然...	
0	〜わけではない / わけでもない	并不是...	
0	〜わけにはいかない / わけにもいかない	（因情理）不能...	
0	〜わりには	虽然…但是…	
0	〜を中心に / を中心にして / を中心として	以...为中心	〜をちゅうしんに / をちゅうしんにして / をちゅうしんとして
0	〜を通じて / を通して	通过...（方式）；在整个...（期间）	〜をつうじて / をとおして
0	〜を問わず / は問わず	不论...	〜をとわず / はとわず
0	〜を除いて(は)	除了...之外	〜をのぞいて(は)
0	〜をはじめ / をはじめとして / をはじめとする	以...为首，...以及...	
0	〜を踏まえて / を踏まえ / を踏まえた	基于...，根据...	〜をふまえて / をふまえ / をふまえた
0	〜をめぐって / をめぐり / をめぐる	围绕...	
0	〜をもとに(して)	以...为基础	
