Fre	单词	含义	备注	Rand
1	番組	ばんぐみ	节目	0.5284131913765537
0	必要	ひつよう		0.735277373609446
0	〜向けの	むけの	面向…	0.03278136981745161
0	建て替える	たてかえる	重建；改建	0.8490505489274927
0	考う	かんがう		0.4326251809062334
1	急ぐ	いそぐ		0.5284680002490183
0	確保	 かくほ		0.5869566020980956
0	車両	しゃりょう	车辆	0.7132393243613997
0	手段	しゅだん		0.27239181109788
0	依頼	いらい		0.6995897513220604
0	協力	きょうりょく		0.2438903514514572
0	自治体	じちたい		0.9676069026731489
0	周辺	しゅうへん		0.6240224802069794
0	対応	たいおう		0.2857484059511959
0	整備	せいび		0.533551365388601
0	野原	のはら	地名	0.3133970434136019
0	早期	そうき		0.5961765777184475
0	招く	まねく		0.6337847961512131
0	事故	じこ		0.6266208058821899
0	歩行者	ほこうしゃ		0.2819027038116696
0	指摘	してき	指出; 指摘; 批评	0.2718210541141924
0	危険	きけん		0.3575401044871678
0	橋	 はし		0.95312324716926
0	道路	どうろ		0.2306078103797546
0	理解	りかい		0.6787443174761142
0	意見	いけん		0.5977067524078469
0	施設	しせつ		0.3669403285964704
0	宿泊	しゅくはく	住宿	0.06760923933021235
0	春	はる		0.9335943724101641
0	終わる	おわる	结束；完成	0.5583995982419308
0	歌	うた		0.2219411402305207
0	身	み	身体；自身	0.5248279715561013
0	やりがい	有价值；值得		0.6458788979750816
0	つられる	つられる	被吸引，つる的被动	0.8301614267053162
0	つく	つく	附着	0.4699041995021516
0	つける	つける	附着上	0.7296082061332112
0	ふわふわ	轻盈、蓬松、漂浮		0.07444685867237044
0	成分	せいぶん		0.5308511849032185
0	含む	ふくむ		0.1697849062598979
0	助け	たすけ	帮助；救助	0.8964335804972258
0	移動	いどう		0.9350682538129259
0	付く	つく	附着；跟随；附带	0.6222028908725258
0	体	からだ		0.8155391661982546
0	棘	とげ	刺；棘刺	0.8470719336040771
0	蟻	あり	蚂蚁	0.1302451386153273
0	真っ白	まっしろ	纯白；洁白	0.9922224864131055
0	塊	かたまり	块；团；堆	0.8416161725406397
0	増やす	ふやす	增加；增多	0.1724141758911374
0	仲間	なかま	同伴；伙伴	0.5916809050701822
0	方法	ほうほう		0.5472933787585305
0	歩く	あるく		0.3094299906015364
0	植物	しょくぶつ		0.5626733302674656
0	遠い	とおい		0.0804643004661344
0	乗る	のる		0.2154543746036106
0	風	かぜ		0.8013836844529532
0	飛ぶ	とぶ		0.4265832880224659
0	種	たね	种子	0.5799846764492018
0	綿毛	わたげ		0.7938886344941037
0	開催	かいさい		0.05331196481348999
0	大会	たいかい		0.5962623031213689
0	全国	ぜんこく		0.2704837178757165
0	迎え	むかえ		0.00278341948611105
0	主に	おもに		0.7384931277816161
0	発見	はっけん	发现；发觉	0.8150258871480548
0	張り切る	はりきる	干劲十足	
0	気付	きづけ	注意；察觉；意识；关心	0.2553595371950442
0	洗濯	せんたく		0.6113957108835867
0	工夫	こうふ	想办法；动脑筋；设法	0.3668959478990358
0	喜ぶ	よろこぶ	高兴；喜悦	0.1605515132678091
0	存分	ぞんぶん	尽情；充分	0.05844095587181231
0	釣り	つり		0.1566313768025568
0	妻	つま		0.4598296493595505
0	歳	とし	年龄；年岁	0.5010015293573693
0	年金	ねんきん	养老金	0.3625472459842082
0	過ぎ	すぎ	超过；过去	0.07341216512497817
0	陸上競技	りくじょうきょうぎ		0.01357451936647236
0	下手	へた		0.1183837097249794
0	いくらでも	いくらでも	很多，比比皆是	0.2423566077973657
0	強い	つよい		0.1454934018666941
0	いくらでも	いくらでも	就是说；也就是说	0.8645724285102327
0	残る	のこる	剩余；遗留	0.8070474705457454
0	心	こころ		0.663862044312855
0	それ以上	それ以上	超过；再以上	0.2127272981679954
0	子	こ	孩子	0.1381464633146111
0	発表会	 はっぴょうかい		0.2479126428916648
0	なんて言うか	なんていうか	怎么说呢	0.3507084647195219
0	みたいだ	みたいだ	好像；似乎	0.3076875875133142
0	慣れる	なれる	习惯；适应；熟练	0.03553358612502477
0	生活	せいかつ		0.9439796845037546
0	感謝	かんしゃ		0.1678489571729138
0	家事	かじ		0.8709061364233516
0	火事	かじ		0.1277154205643206
0	5年後	ごねんご		0.9987071055864212
0	議員	ぎいん		0.1364918886804122
0	議会	ぎかい		0.0983013494872903
0	山川市	やまかわし		0.1145043861620015
0	やりがい	やりがい	有价值	0.8941242932561488
0	決心	けっしん		0.3111695784487023
0	出張	しゅっちょう		0.5642249569150684
0	一人暮らし	ひとりぐらし		0.7083872779064884
0	小型	 こがた		0.5400159913175666
0	飼い	かい	饲养；喂养	0.4403997994848168
0	掛かる	かかる	悬挂；花费；需要	0.2148748467910445
0	医療費	いりょうひ		0.20982623469991
0	連る	つる	牵连；牵涉；连累	0.4122314519957648
0	家庭	かてい		0.3520377056456966
0	共働き	ともばたらき	双职工；夫妻都工作	0.9827837585755766
0	事情	じじょう		0.6709968823344724
0	経済	けいざい		0.7241599553239286
0	変化	へんか		0.6686736362670953
0	環境	かんきょう		0.9482497886368535
0	減る	へる		0.5207735291644779
0	飼う	かう		0.7637207215328199
0	調査	ちょうさ		0.08246408338231415
0	に関する	にかんする		0.9759505034975631
0	代表的な	だいひょうてきな		0.2009770378804967
0	以前	いぜん		0.137750143853302
0	自分なりに	自分なりに	按照自己的方式；以自己的风格	0.2909597083868878
