Fre	单词	含义	备注
2	目の前	めのまえ	目前
2	自体	じたい	……本身
1	かかる	かかる	花费、需要（时间、金钱、劳力等）
2	時期	じき	
2	選ぶ	えらぶ	
2	考える	かんがえる	
2	作る	つくる	
2	手間	てま	工作需要的）劳力和时间，工夫
2	宣伝	せんでん	宣传
2	絶対	ぜったい	
2	包装	ほうそう	
2	北海道	ほっかいどう	
2	おかげさま	おかげさま	托您的福；多亏了您
2	迷惑	めいわく	麻烦；困扰
2	おかけしました	おかけしました	给您造成了…
1	会議室	かいぎしつ	
2	いまいち	いまいち	不太满意；差一点
2	期待	きたい	
2	成功	せいこう	
2	代表	だいひょう	
2	効果	こうか	
2	目立つ	めだつ	显眼、引人注目
2	時期	じき	
1	新商品	しんしょうひん	
2	揃う	そろう	整齐；一致；齐全
2	優勝	ゆうしょう	
2	店内	てんない	
1	伸ばす	のばす	增长能力，扩展业绩
2	〜はないですか	〜はないですか	有……吗？“难道连一个……都没有吗？”的语感，更容易引出对方肯定的回答
1	年末	ねんまつ	
1	遅れる	おくれる	
1	約束	やくそく	约定；诺言
1	遅刻	ちこく	迟到; 晚到
0	全員	ぜんいん	
0	自信	じしん	
1	ありえない	ありえない	不可能；难以置信
0	負ける	まける	输；败；让步
1	勝つ	かつ	获胜
1	印刷	いんさつ	印刷；打印
0	守る	まもる	保护；遵守
0	選手	せんしゅ	
1	入力	にゅうりょく	输入；录入
1	次第	しだい	顺序；情形；取决于
1	相手	あいて	
0	精一杯	せいいっぱい	竭尽全力；尽最大努力
0	試合	しあい	比赛; 竞赛
1	音	おと	声音；音调
0	和菓子	わがし	日式点心
0	大会	たいかい	
1	一回	いっかい	
0	セット	セット	套餐
1	売り上げ	うりあげ	销售额，营业额
0	いい案	いいあん	好主意、好方案
0	帰省	きせい	
1	探す	さがす	查找，寻找
0	目を引く	めをひく	吸引目光
1	貼紙	はりがみ	
0	確かに	たしかに	
0	小さい	ちいさい	小的；年幼的
0	その後	そのご	
1	近所	きんじょ	
1	チラシを配る	チラシを くばる	发传单
0	店長	てんちょう	
1	助かる	たすかる	被救助；受益；得到帮助
0	凉しい	すずしい	
1	12月	じゅうにがつ	
0	南市内	みなみしない	
0	夏休み	なつやすみ	
0	行う	おこなう	
0	自然	しぜん	
0	科学	かがく	
0	紹介	しょうかい	
0	未来	みらい	
0	人型	ひとがた	
0	交流	こうりゅう	
0	気象	きしょう	
0	変化	へんか	
0	に関する	にかんする	
0	実験	じっけん	
0	仕組み	しくみ	策划，计划
0	学ぶ	まなぶ	
0	中央	ちゅうおう	
0	星	ほし	
0	観測	かんそく	
0	歴史	れきし	
0	テーマ	主题	
0	開催する	かいさいする	举办
0	星空	ほしぞら	
0	想像	そうぞう	
0	薬	くすり	
0	材料	ざいりょう	
0	観察	かんさつ	
0	ツアー	旅游团	
0	詳しい	くわしい	
0	情報	じょうほう	
0	施設	しせつ	
0	確認	かくにん	
0	甥	おい	外甥或侄子
0	遊び	あそび	
0	参加	さんか	
0	喜び	よろこび	
0	調べ	しらべ	调查；研究
0	夜空	よぞら	
0	变化	へんげ	
0	体験	たいけん	
