Fre	单词	含义	备注
0	地域	ちいき	地区、社区
0	生け花	いけばな	插花
0	部長	ぶちょう	部长、社长
0	留守番電話	るすばんでんわ	电话答录机、语音信箱
0	展覧会	てんらんかい	
0	ファイル	文件	
0	会場	かいじょう	
0	タイトル	标题	
0	文字	もじ	
0	一回り	ひとまわり	一圈，一周
0	位置	いち	
0	いくらか	少许、有点	
0	左に	ひだりに	みぎ->右边
0	寄う	よそう	聚集；集合
0	真ん中	まんなか	正中，中间
0	日時	にちじ	日期
0	下げる	さげる	降低，降下
0	上げる	あげる	
0	提案	ていあん	
0	動かす	うごかす	移，移动
0	出発	しゅっぱつ	
0	集合	しゅうごう	
0	伝える	つたえる	传达，转告
0	合宿	がっしゅく	
0	確認	かくにん	
0	人数	にんずう	
0	参加者	さんかしゃ	
0	確定	かくてい	
0	申し込む	もうしこむ	
0	変更	へんこう	
0	都合	つごう	(某种)情况
0	貸し切り	かしきり	包租；专享；独占
0	当日	とうじつ	
0	集合	しゅうごう	
0	連絡	れんらく	
0	到着	とうちゃく	
0	変更	へんこう	
0	迷惑	めいわく	麻烦；困扰；打扰
0	朝晚	あさばん	早晨和晚上；早晚
0	時期	じき	时期；季节；时机
0	気温	きおん	
0	低い	ひくい	
0	上着	うわぎ	
0	変更	へんこう	
0	企画書	きかくしょ	
0	抑える	おさえる	抑制
0	甘さ	あまさ	甜度
0	大人	おとな	
0	箱	はこ	盒子
0	高級感	こうきゅうかん	
0	出す	だす	拿出、营造
0	狙い	ねらい	目标、意图
0	販売	はんばい	
0	価格	かかく	
0	設定	せってい	
0	〜だと	假定条件	
0	店の棚	みせのたな	
0	消費者	しょうひしゃ	
0	目に止まる	めにとまる	注意到
0	目立つ	めだつ	显眼
0	〜たりする	做……啦……啦	不完全列举
0	価格	かかく	
0	調整	ちょうせい	
0	指摘	してき	指出
0	修正	しゅうせい	
0	今のように	就像现在这样	
0	十分	じゅうぶん	
0	確か	たしか	好像是…
0	金魚	きんぎょ	
0	飼ってる	かってる	"""飼っている""的口语"
0	汚れちゃう	よごれちゃう	"""汚れてしまう""口语"
0	しなきゃならない	必须…	"""しなければならない""口语"
0	水	みず	
0	貝	かい	螺贝
0	2ヶ月前	にかげつまえ	
0	餌	えさ	饲料
0	量	りょう	分量
0	日当	ひあ	日照；阳光照射
0	影響	えいきょう	
0	〜通りに	とおりに	按照…
0	玄関	げんかん	
0	〜ずに	不…就…	
0	少ない	すくない	少
0	〜はいいとして	…暂且不论	
0	中山	なかやま	
0	新製品	しんせいひん	
0	洗濯機	せんたくき	
0	つける	附着在…	
0	マニュアルの案	说明书的草案	
0	詳細な	しょうさいな	
0	取扱	とりあつかい	操作；使用
0	説明書	せつめいしょ	
0	簡単な	かんたんな	
0	簡易	かんい	
0	印刷物	いんさつぶつ	
0	使い方	つかいかた	
0	問題	もんだい	
0	文字	もじ	
0	絵	え	图片
0	シンプル	简单；简洁	
0	簡潔	かんけつ	简洁；简明；扼要
0	動画	どうが	视频；动画
0	洗剤	せんざい	洗涤剂
0	あんな	那样的；那种的	
0	余計な	よけいな	多余的
0	省く	はぶく	省略
0	字幕	じまく	
0	複数	ふくすう	多个
0	言語	げんご	语言
0	対応	たいおう	对应
0	ニーズ	需求	
