Fre	单词	读音	含义	备注
6	あっという間に	あっというまに	一转眼，刹那之间。形容时间过得飞快。	
6	とんでもない	とんでもない	1. 出乎意料的，惊人的。2. (表示强烈否定) 哪里的话，毫无道理。3. (用于回应感谢或道歉) 别客气，没什么。	
7	途方もない	とほうもない	惊人的，没谱的，出乎意料的，异想天开的。	
6	何しろ	なにしろ	总之，毕竟，因为。用于在开头引出理由或情况。	
5	見積もる	みつもる	估算；估计；估价；预测	
5	もてあます	もてあます	(因过大、过强或过剩而) 不知如何处理，难以对付。	
5	途端に	とたんに	正当……时候，刚一……时候	
4	しっかり	しっかり	牢固地，可靠地，扎实地。	
4	～なので	～なので	因为...，所以...。	
3	苦手	にがて	不擅长，不善于应付。	
3	～に依ると	～によると	根据...，据...。	
3	～にしたら		从…立场来看	
2	ておき	ておき	「～ておく」的连用形，意为事先做好准备。	
1	経験	けいけん	经验，经历，体验。	
1	ようがない	ようがない	无法...，没法…	
1	きちんと	きちんと	整齐地，规矩地，好好地。	
1	無理に	むりに	强制地。	
1	ぎゅっと		紧紧；用力地	
1	持ち運び	もちはこび	携带，搬运。	
1	とる	とる	拿，取。选择	
1	無断	むだん	擅自；未经允许	
1	ご/お～する/します/いたす		自谦	ご/お～です->尊他
0	～者です	～ものです	(自谦表达) 我是做...的人。	
0	辺り	あたり	大约；附近；周围；	
0	反応なく	はんのうなく	没有反应，毫无反应地。	
0	ご/お～いただく		承蒙您…	
0	または		或者。	
0	～ようだ		好像；看样子；似乎	
0	まずい	まずい	难吃的; 糟糕的，不妙的。	
0	～たがる		(第三人称) 想要...。	
0	保護者	ほごしゃ	监护人（如父母）	
0	立ち寄る	たちよる	顺便去，顺路到...。	
0	注文	ちゅうもん	点菜，订购，要求。	
0	なくす	なくす	弄丢，消除。	
0	～ばかり	～ばかり	净是，光是...	
0	かつて	かつて	曾经，以往。	
0	ご/お～です		尊他	ご/お～する/します/いたす->自谦
0	とれる	とれる	1. 脱落，掉下。2. 可以解释为，可以理解为。3. 消除，去除(疲劳、疼痛等)。	
0	そのもの	そのもの	...本身，就是那个。用于加强语气，强调事物自身。	
0	まだ		还…	だだ->只不过
0	取れる	とれる	去除；脱落；理解	
0	あえて	あえて	硬是，敢于，特意。表示明知困难或不必如此，却偏要去做。	
0	それだけ	それだけ	1. 只有那些，仅此而已。2. 正因为如此，到那种程度。	
0	すぐに	すぐに	马上，立刻。	
0	～たら	～たら	如果...的话；（确定条件）...之后就...。	なら->如果
0	それどころか	それどころか	岂止如此，不仅如此，反而...。用于引出与前述事实更进一步或相反的情况。	
0	思い出	おもいで	回忆；追忆	
0	～とおり	～とおり	如同...，按照...。	
0	積む	つむ	积累；装载；堆积	
