Fre	单词	含义	读音	Rand	备注
3	により	根据，由于			
3	ふりがな	变更			振替
2	ほしがる	（第三方）想要			たがる->第三人称想要
2	じっくり	仔细地，慢慢地			ゆっくり->慢慢地；不慌不忙地
3	押し寄せちる	蜂拥而至，涌上来	おしよせる		
3	直後	之后不久，紧接着	ちょくご		
2	なぐさめる	安慰，慰问			
3	いっこう〜ない	一点也（不）......			まったく->完全地
1	かなり	相当，很			ほかり->除…之外
1	たいてい	大抵，大都			
2	持ち歩く	携带；随身携带	もちあるく		
2	ほうっておく	置之不理，放任不管			
2	持ち運び	搬运；携带	もちはこび		
1	それぞれ	各自，分别			
1	および	以及，和			
0	生産的	有生产性的，有成果的	せいさんてき		
0	なくす	弄丢，失去			とれる
0	必ずしも〜ない	未必，不一定			
0	できるだけ	尽可能地，尽量			
0	それだけ	只有那么些，仅此而已			
0	真剣さ	认真，严肃（的程度）	しんけんさ		
0	だいぶ	相当；颇；很；很多			
0	すでに	已经			
0	立ち寄る	顺路去；顺便到			
0	〜方がいい	最好…	〜ほうがいい		
