Fre	单词	读音	含义	Rand	备注
1	拡充		かくじゅう		
1	案の定		预料之中		あんのじょう
2	びっくり		吃惊，吓一跳		
2	がっかり		失望；沮丧		
2	かっと		勃然（大怒）,好发脾气		
1	とりかかる		着手,开始		
2	人柄		人品，人格，品质		ひとがら
2	ぞっと		打寒战，寒毛凛凛，毛骨悚然		
2	あいかわらず		依旧，依然如故		
2	くるむ		包，裹		
1	縛る		缚，捆		しばる
1	充実		じゅうじつ		
1	応援		おうえん		
1	口述		こうじゅつ		
1	ライバル		rival		
1	口授		こうじゅ		
1	著しい		いちじるしい		
1	著す		あらわす		著书；撰写；创作
0	著作		ちょさく		作品；著作
1	輝かしい		かがやかしい		
0	声援		せいえん		
0	死因		しいん		
0	声音		せいおん		
1	さっさと		赶快地，迅速地		
1	支援		しえん		
1	正員		せいいん		
1	争う		あらそう		
1	傾く		かたむく		倾斜，偏，歪
1	傷つく		きずつく		
1	乾く		かわく		干燥；口渴
0	浮く		うく		浮起；漂起；浮出
0	競う		きそう		
1	郵送		邮寄		ゆうそう
0	戦う		たたかう		
1	アクシデント		accident		
1	討つ		うつ		
1	特に		とくに		
1	弱点		じゃくてん		
0	欠点		けってん		
1	増加		ぞうか		
1	上達		じょうたつ		长进；进步
1	增大		ぞうだい		
1	上昇		じょうしょう		上升；增加；提高
0	タイマー		timer；计秒表，定时器		
0	タイミング		timing；时机		
0	たまたま		偶然；碰巧		
1	アクション		action；动作，活动		
0	無事に		平安地		ぶじに
1	気軽に		轻松地；随意地		きがるに
1	率直に		坦率；直率		そっちょくに
1	器用に		灵巧；手巧；巧妙		きように
1	付属		附属的		ふぞく
0	豊か		ゆたか		
1	添付		附加；添加；附带		てんぷ
1	じろじろ		目不转睛地看		
1	破片		はへん		
1	制限		限制；限定		せいげん
0	返品		へんぴん		
1	妥当		だとう		适当；合适；妥善
1	庇う		かばう		庇护；袒护；保护
1	叱る		しかる		责备；训斥；斥责
1	ばっと		突然；猛然；一下子		
1	拡大		かくだい		
1	いけない		不允许		
1	プレゼン		presentation		
1	境界		边界；界限；境界；境域		きょうかい
1	境目		分界线；交界处		さかいめ
1	出来事		(偶发)的事件，变故		できごと
0	きっかけ		契机；机会；开端；起因		
0	きっかける		开始；着手；启动；引发		
1	固める		巩固；使坚固		かためる
0	まとめる		总结；归纳；整理；统一；汇总		
0	仕上げる		完成；做完；加工		しあげる
0	合わせる		使一致；配合；合并		あわせる
1	失望		しつぼう		
1	やり方		做法,方法		
0	ぜんぜん		丝毫不，一点儿不		接否定
1	分ける		分，分开		
1	快晴		かいせい		晴天；晴朗
1	進出		しんしゅつ		进入；打入
0	乱暴		らんぼう		粗暴；粗鲁
1	経つ		たつ		经过；流逝
1	成員		せいいん		
1	うっかり		疏忽；不留神；无意中		
1	限界		极限；界限；边界		げんかい
1	ほっと		放心；松了一口气		
1	ふっと		突然；忽然		
1	ぼうっと		发呆；模糊；朦胧		
1	ぱっと		突然；一下子；立刻		
1	なくす		丢失；丧失；消除		
0	好都合		方便；顺利；恰好		こうつごう
1	快晴		晴天；晴朗		かいせい
1	かばう		庇护，袒护		
1	倣う		模仿；效仿		ならう
1	ふっと		突然；忽然		
1	引用		引用；引证；援引		いんよう
1	ぼうっと		发呆；模糊		
1	展開		てんかい		
1	起源		きげん		
1	機嫌		きげん		心情；情绪
1	期限		きげん		期限；截止日期
1	保護		ほご		
