Fre	单词	读音	含义	备注
0	警備		けいび	
1	進出		しんしゅつ	向…发展;打入
0	等しい		ひとしい	
0	似る		にる	像，似
0	煮る		にる	
1	盗む		ぬすむ	偷窃；剽窃；偷偷地做
0	アンケート		调查问卷	
1	尊い/貴い		とうとい	
1	敬う		うやまう	
0	偉大		いだい	
1	相違		そうい	不同，悬殊，差异
1	そろう			齐全
1	用具		ようぐ	
1	設備		せつび	装备，配备，设备
0	転勤		てんきん	
1	直行		ちょっこう	笔直前进；直达
1	まれ		稀少，少见	
1	診察		しんさつ	
1	なだらか		平稳，顺利,坡度小	
1	ささやか		细小，规模小	
1	かすか		微弱，细弱	
1	悪口		わるくち	说坏话
0	苦情		くじょう	抱怨，牢骚，意见
1	反論		はんろん	反驳
1	皮肉		ひにく	挖苦，嘲讽，讽刺
1	どしどし		脚步咚咚声;迅速；连续不断	
1	どっしり		稳重;沉甸甸	
1	うじゃうじゃ		蠕动	
1	ぎっしり		满满地；紧密地	
1	いだく		怀有（想法、感情等）	
1	にぎる		握紧；抓住	
1	たもつ		保持；维持	
1	大きさ		大小，尺寸	
1	診断		しんだん	
1	経費		けいひ	
0	煩い		うるさい	
0	景品		けいひん	赠品
0	刺激		しげき	
0	刺す		さす	刺；扎；叮
1	激しい		はげしい	
1	外れる		はずれる	脱离；偏离；落空
1	乱れる		みだれる	混乱；杂乱；扰乱
1	破れる		やぶれる	破裂；破损；失败
1	潰れる		つぶれる	毁坏；倒闭；破产
0	世間		せけん	
0	生還		せいかん	
1	世の中		よのなか	世间；社会；世道
0	勇ましい		いさましい	
1	逞しい		たくましい	健壮，强壮
1	喧しい		やかましい	
0	厚かましい		あつかましい	厚颜无耻；厚脸皮
1	避る		さる	躲避；避开；回避
0	お金持ち		おかねもち	有钱人
0	欲		よく	欲望，需求
0	望む		のぞむ	希望，期待
0	求人		きゅうじん	
0	求職		きゅうしょく	
0	情		じょう	情，感情
1	職業		しょくぎょう	职业
1	俳優		はいゆう	演员
0	男優		だんゆう	
0	女優		じょゆう	
0	声優		せいゆう	
0	逃れる		のがれる	逃避；避开；摆脱
1	別れる		わかれる	离别，分手
0	離れる		はなれる	离开;分离;相隔;脱离
0	備える		そなえる	准备；防备
