Fre	单词	读音	含义	Rand	备注
0	さえ...ば		只要…就…	0.8518976093062036	
1	ようがない		没有办法…	0.04085068208125031	
0	このまま		照这样下去	0.44790989478392595	
1	にこだわる		拘泥于,执着于	0.7512641619634168	
1	さんざん		狠狠地、彻底地	0.5283704173837969	
0	苦労	くろう	辛苦；费心；操心	0.16533311701944198	
0	苦情	くじょう	抱怨；投诉；不满	0.69897027448399	
0	苦手	にがて	不擅长；不善于	0.8753936297277605	
0	下手	へた	不熟练；笨拙	0.0204165691404824	
1	〜あげく		在（长时间）……之后，（最终）得到了一个（不好的）结果	0.07530641387089843	
0	〜たらどうしよう		要是……了该怎么办啊？	0.7737442086605305	
1	〜なきゃ		必须……	0.9613130513716679	
1	ゼミ		研讨会；研究班	0.7347637985828065	
1	だけ		可能会失败，但是做做看	0.5860707309900663	
0	都合	つごう	情况；方便；安排；时机	0.5098379979505613	
0	伺う	うかがう	拜访；打听	0.5820692879997557	
1	転ぶ	ころぶ	摔倒	0.6765214242321734	
0	1位		第一名	0.09695893436819558	
1	乗り切る	のりきる	克服；挺过	0.25182697229685524	
